Name,Ticker,Weight,Sector
Newell Brands Inc,NWL,0.131128,Consumer Discretionary
Vertex Pharmaceuticals Incorporated,VRTX,0.130658,Health Care
Ross Stores Inc.,ROST,0.130518,Consumer Discretionary
Equity Residential,EQR,0.130248,Financials
Corning Incorporated,GLW,0.130038,Information Technology
Weyerhaeuser Company,WY,0.129518,Financials
Illumina Inc.,ILMN,0.12948,Health Care
PPL Corporation,PPL,0.129241,Utilities
Edison International,EIX,0.129208,Utilities
Spectra Energy Corp,SE,0.129193,Energy
HP Inc.,HPQ,0.129088,Information Technology
Edwards Lifesciences Corporation,EW,0.128761,Health Care
Newmont Mining Corporation,NEM,0.128095,Materials
AutoZone Inc.,AZO,0.12781,Consumer Discretionary
Consolidated Edison Inc.,ED,0.126132,Utilities
St. Jude Medical Inc.,STJ,0.125708,Health Care
Electronic Arts Inc.,EA,0.125548,Information Technology
Discover Financial Services,DFS,0.12539,Financials
Zoetis Inc. Class A,ZTS,0.125321,Health Care
Southwest Airlines Co.,LUV,0.125181,Industrials
Sherwin-Williams Company,SHW,0.123465,Materials
Deere & Company,DE,0.123389,Industrials
Dollar Tree Inc.,DLTR,0.122485,Consumer Discretionary
Fiserv Inc.,FISV,0.122454,Information Technology
HCA Holdings Inc.,HCA,0.122115,Health Care
Synchrony Financial,SYF,0.121749,Financials
Monster Beverage Corporation,MNST,0.120012,Consumer Staples
Tyson Foods Inc. Class A,TSN,0.118882,Consumer Staples
Fidelity National Information Services Inc.,FIS,0.117416,Information Technology
Public Service Enterprise Group Incorporated,PEG,0.117084,Utilities
Boston Properties Inc.,BXP,0.116684,Financials
Marathon Petroleum Corporation,MPC,0.115076,Energy
Mylan N.V.,MYL,0.115019,Health Care
Xcel Energy Inc.,XEL,0.11489,Utilities
CBS Corporation Class B,CBS,0.114642,Consumer Discretionary
TE Connectivity Ltd.,TEL,0.113147,Information Technology
SunTrust Banks Inc.,STI,0.111466,Financials
Activision Blizzard Inc.,ATVI,0.110927,Information Technology
Kellogg Company,K,0.110777,Consumer Staples
Baker Hughes Incorporated,BHI,0.11077,Energy
Devon Energy Corporation,DVN,0.109892,Energy
Estee Lauder Companies Inc. Class A,EL,0.109573,Consumer Staples
V.F. Corporation,VFC,0.109198,Consumer Discretionary
ConAgra Foods Inc.,CAG,0.107202,Consumer Staples
PACCAR Inc,PCAR,0.106766,Industrials
Cerner Corporation,CERN,0.106689,Health Care
Cummins Inc.,CMI,0.105915,Industrials
Carnival Corporation,CCL,0.105533,Consumer Discretionary
Progressive Corporation,PGR,0.104918,Financials
WEC Energy Group Inc,WEC,0.104185,Utilities
Analog Devices Inc.,ADI,0.104101,Information Technology
Omnicom Group Inc,OMC,0.103766,Consumer Discretionary
International Paper Company,IP,0.101943,Materials
Tyco International PLC,TYC,0.100735,Industrials
Nielsen Holdings Plc,NLSN,0.100721,Industrials
Paychex Inc.,PAYX,0.100593,Information Technology
Vornado Realty Trust,VNO,0.099057,Financials
Stanley Black & Decker Inc.,SWK,0.09861,Industrials
M&T Bank Corporation,MTB,0.098214,Financials
HCP Inc.,HCP,0.097763,Financials
J. M. Smucker Company,SJM,0.097648,Consumer Staples
Amphenol Corporation Class A,APH,0.097643,Information Technology
Apache Corporation,APA,0.097438,Energy
L Brands Inc.,LB,0.097413,Consumer Discretionary
Molson Coors Brewing Company Class B,TAP,0.097166,Consumer Staples
American Airlines Group Inc.,AAL,0.096,Industrials
Dr Pepper Snapple Group Inc.,DPS,0.095746,Consumer Staples
Eversource Energy,ES,0.095705,Utilities
Delphi Automotive PLC,DLPH,0.095224,Consumer Discretionary
Realty Income Corporation,O,0.094489,Financials
General Growth Properties Inc.,GGP,0.094482,Financials
Moody's Corporation,MCO,0.092698,Financials
Ingersoll-Rand Plc,IR,0.092516,Industrials
Roper Technologies Inc.,ROP,0.091616,Industrials
Williams Companies Inc.,WMB,0.091516,Energy
Clorox Company,CLX,0.091346,Consumer Staples
T. Rowe Price Group,TROW,0.090458,Financials
DTE Energy Company,DTE,0.090456,Utilities
Willis Towers Watson Public Limited Company,WLTW,0.08938,Financials
Concho Resources Inc.,CXO,0.088753,Energy
Nucor Corporation,NUE,0.08788,Materials
CenturyLink Inc.,CTL,0.08778,Telecommunication Services
Ulta Salon Cosmetics & Fragrance Inc.,ULTA,0.087155,Consumer Discretionary
Mead Johnson Nutrition Company,MJN,0.087084,Consumer Staples
Parker-Hannifin Corporation,PH,0.086906,Industrials
C. R. Bard Inc.,BCR,0.08663,Health Care
Vulcan Materials Company,VMC,0.085501,Materials
AmerisourceBergen Corporation,ABC,0.085431,Health Care
Freeport-McMoRan Inc.,FCX,0.084696,Materials
Hershey Company,HSY,0.084226,Consumer Staples
Hartford Financial Services Group Inc.,HIG,0.084176,Financials
